Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsión,Petróleo reconstituido,Total importación
2017-10-01,0.0,5286.19,219812.13999999998,0.0,132304.57,0.0,0.0,584709.6085714286,6925.95,574073.61,657241.76,0.0,0.0,0.0,0.0,167584.01,0.0,0.0,0.0,740198.57,0,0.0,0,3088136.4085714286
2017-11-01,0.0,10880.529999999999,127575.05,0.0,24435.17,0.0,0.0,935986.5090476191,0.0,434963.36,504247.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.29,1135350.1,0,0.0,0,3173510.319047619
2017-12-01,0.0,3150.02,56960.0,0.0,80037.74,0.0,0.0,595421.4328571428,4729.14,679441.47,803216.88,0.0,0.0,0.0,0.0,155599.01499999998,0.0,0.0,72.29,1305047.55,0,0.0,0,3683675.537857143
2018-01-01,0.0,5302.14,134033.14,0.0,92894.94,1153831.8900000001,21987.53,396363.05,0.0,571858.0599999999,535784.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.78,0.0,0,0.0,0,2912134.23
2018-02-01,0.0,3721.91,85318.21,0.0,52337.759999999995,921684.12,29946.48,591000.0204761905,0.0,509366.1,629467.9099999999,0.0,0.0,0.0,0.0,407070.3,0.0,0.0,0.37,0.0,0,0.0,0,3229913.1804761905
2018-03-01,0.0,6182.35,84988.82,0.0,23906.14,889227.1,12064.95,644245.4033333334,15747.16,563899.06,529507.15,0.0,0.0,0.0,0.0,418762.45,0.0,0.0,74.03,0.0,0,0.0,0,3188604.6133333333
2018-04-01,0.0,1877.7199999999998,219805.45,0.0,70906.87,696962.77,0.0,188590.81333333332,0.0,510830.0,617512.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.29,0.0,0,0.0,0,2306558.1933333334
2018-05-01,0.0,4300.0,111460.41,0.0,72992.51,1592580.34,38055.3,636234.130952381,0.0,580825.11,580329.35,0.0,0.0,0.0,0.0,327075.21,0.0,0.0,6.96,0.0,0,0.0,0,3943859.320952381
2018-06-01,0.0,6413.0,130426.6,0.0,34249.65,777679.9099999999,0.0,618811.331904762,21208.260000000002,463620.61,558257.59,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,144.57,0.0,0,0.0,0,2611811.521904762
2018-07-01,0.0,8518.71,148012.12000000002,0.0,40811.0,793683.41,0.0,584386.1490476191,4005.99,543333.77,784601.77,0.0,0.0,0.0,0.0,385600.49,0.0,0.0,5.84,0.0,0,0.0,0,3292959.2490476193
2018-08-01,0.0,3434.71,214625.41,0.0,81985.47,1281364.78,0.0,408658.6342857143,20437.54,663834.04,541557.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.63000000000001,0.0,0,0.0,0,3215972.5542857144
2018-09-01,0.0,4473.29,26753.84,0.0,94980.04,896266.4299999999,0.0,449846.7633333333,18379.3,454442.87,536897.09,0.0,0.0,0.0,0.0,406985.43,0.0,0.0,0.0,0.0,0,0.0,0,2889025.053333333
2018-10-01,0.0,4285.71,150085.74,0.0,55219.75,992682.0399999999,6049.0,600230.4504761905,2395.3,726044.35,663440.3400000001,0.0,0.0,0.0,0.0,418296.61,0.0,0.0,74.94000000000001,0.0,0,0.0,0,3618804.2304761903
2018-11-01,0.0,2584.71,65312.15,0.0,52310.24,899588.3400000001,39035.84,598626.1598412698,0.0,534084.49,509382.86,0.0,0.0,0.0,0.0,244787.0,0.0,0.0,73.85000000000001,0.0,0,0.0,0,2945785.6398412697
2018-12-01,0.0,2588.13,84669.38,0.0,87868.41,792198.66,0.0,614887.0038095238,0.0,535639.97,631652.56,0.0,0.0,0.0,0.0,438155.24,0.0,0.0,83.27000000000001,0.0,0,0.0,0,3187742.623809524
2019-01-01,16541.298109999996,3058.43,196719.1,334.0,59152.84,1195728.2000000002,0.0,414086.11666666664,15399.57,702923.3699999999,684504.84,585.91429,0.0,475.49,350.92,208276.69,0.0,7282.589999999999,0.41,0.0,0,0.0,0,3505419.779066667
2019-02-01,21619.9862143,8794.74,100485.14,307.6,101570.62,1208476.16,0.0,460518.7966666667,1801.96,469437.28,521555.38,545.97,0.0,1911.93,342.55,279583.39,0.0,11978.35,144.57,0.0,0,0.0,0,3189074.4228809667
2019-03-01,17980.15,10715.12,109888.23000000001,426.69,118678.79999999999,1550052.84,0.0,384425.56476190477,0.0,678145.38,704276.53,996.4899999999999,0.0,2170.21,0.0,256490.0,0.0,4717.69,80.58,0.0,0,0.0,0,3839044.274761905
2019-04-01,17450.334,3114.36,280702.33,512.67,76765.06,1215209.05,39866.57,670633.919047619,14371.63,867761.34,656495.95,477.01127,0.0,1944.32,0.0,276252.72,0.0,5112.74,147.59,0.0,0,0.0,0,4126817.5943176188
2019-05-01,22195.291720000005,6650.62,103315.2,171.98,59987.32000000001,1011872.8700000001,0.0,623466.2185095239,0.0,596798.22,568128.4099999999,489.43416,0.0,2658.48,0.0,485520.18,0.0,6263.91,82.01,0.0,0,0.0,0,3487600.144389524
2019-06-01,22041.4951571,4484.73,346048.3,507.79,68548.57,1029100.9,0.0,612732.2747619048,13290.5,712731.8,629788.4299999999,225.87494,0.0,0.0,0.0,256057.52,0.0,9967.36,0.0,0.0,0,0.0,0,3705525.5448590047
2019-07-01,20059.59273,19590.129999999997,13652.9,202.29,63368.64,1056569.1099999999,0.0,667486.7847619046,0.0,531577.64,516273.85000000003,117.6839,0.0,3134.83,0.0,0.0,0.0,9079.17,75.79,0.0,0,0.0,0,2901188.4113919046
2019-08-01,19268.713300000003,9374.15,141908.63999999998,404.4,75962.03,1167556.8900000001,0.0,586430.6452380953,0.0,896841.31,713859.98,176.82000000000002,0.0,952.38,0.0,0.0,0.0,3968.23,7.34,0.0,0,0.0,0,3616711.5285380953
2019-09-01,17011.472800000003,5473.849999999999,108983.70000000001,557.9,58060.399999999994,717490.02,7551.05,850778.2085714288,0.0,518043.68,491194.7100000001,348.21000000000004,0.0,166.67,340.1,212326.74,0.0,8867.9,79.33000000000001,0.0,0,0.0,0,2997273.941371429
